post_id,text,images
4dab7b7e-14a1-4681-98d4-ca2408b5001c,"Trois ans après son décès, nous avons rendu hommage à Jacques Chirac en donnant son nom à la Cour d’honneur de la mairie du 5e en présence de sa fille Claude. 
L’ancien Président et Maire de Paris a désormais un lieu à son nom au cœur de l’arrondissement qui l’a vu naître.",images/post_38_0.jpg;images/post_38_1.jpg;images/post_38_2.jpg
090c966d-1ea3-464e-bdd6-109bc531ecc9,"Trois ans après son décès, nous avons rendu hommage à Jacques Chirac en donnant son nom à la Cour d’honneur de la mairie du 5e en présence de sa fille Claude.",
410f981f-9f8a-4375-9098-c19519468821,L’ancien Président et Maire de Paris a désormais un lieu à son nom au cœur de l’arrondissement qui l’a vu naître.,
209fa663-7997-45ec-be8b-748d36579250,"Très triste d’apprendre le décès du Président Jacques Chirac. Une page se toune! 
Au revoir Président",images/post_41_0.jpg
41927d39-94e7-4095-b11a-d59b86571d9c,Très triste d’apprendre le décès du Président Jacques Chirac. Une page se toune!,
54c00c45-f5c6-476a-8682-bab8977cd50b,[Décès] Jacques Chirac nous a quittés aujourd’hui. On gardera notamment ce souvenir de lui avec Michael Eisner. Cette photo fut prise lors de la signature de la convention de 1987 (acte fondateur pour Disneyland Paris).,images/post_43_0.jpg
48065562-881b-45d2-9543-ec47063eee85,"Une grande figure de la droite Jean Tiberi est morte.
 Jean Tiberi est décédé à l'âge de 90 ans.
 Il fut maire RPR de Paris de 1995 à 2001, maire du 5e arrondissement de Paris de 2001 à 2014, mais également député parisien pendant 23 ans et ancien magistrat.
#jeantiberi #Décès #Politique #mesinfos",images/post_44_0.jpg
67dfce52-87af-4a7e-bb5c-be63d9f1d1dc,Une grande figure de la droite Jean Tiberi est morte.,
ef02360b-6f91-4503-bf36-aed4a14e47a8,Jean Tiberi est décédé à l'âge de 90 ans.,
80e538ce-dd9b-4594-b5f3-8f8548b606c9,"Il fut maire RPR de Paris de 1995 à 2001, maire du 5e arrondissement de Paris de 2001 à 2014, mais également député parisien pendant 23 ans et ancien magistrat.",
c5e690b6-8641-4f49-b394-b4b3a57c1fae,#jeantiberi #Décès #Politique #mesinfos,
99418082-b7fa-4367-b97b-49fdacdcd63d,"C’est avec une certaine émotion que j’ai appris le décès de Jacques Chirac. C’est une page de notre histoire qui se tourne avec la disparition de cet homme d’État qui a su faire rayonner notre pays dans le monde tout en restant proche et à l’écoute de chaque français.
C’est en cela que je l’appréciais et que je souhaite aujourd’hui lui rendre hommage.",images/post_49_0.jpg
9c262553-365d-450f-9c66-673d95497b7d,C’est avec une certaine émotion que j’ai appris le décès de Jacques Chirac. C’est une page de notre histoire qui se tourne avec la disparition de cet homme d’État qui a su faire rayonner notre pays dans le monde tout en restant proche et à l’écoute de chaque français.,
a2dc79eb-8ae2-47d0-8f89-ca57bbadbd52,C’est en cela que je l’appréciais et que je souhaite aujourd’hui lui rendre hommage.,
e4a02989-e354-4bdc-9fe1-0368f84a80ef,Décès de Jacques Chirac : retour sur 40 ans de vie politique,images/post_52_0.jpg
da9f9654-ce7d-4eeb-9cd4-725ee260c920,DEATH OF PRESIDENT JACQUES CHIRAC,
726ff1f6-ff28-4152-b9a6-f81c2fbfe14b,"He had France in his heart, he had the heart of the French and the French humanity.",
13a8ee87-ce93-49c4-ae32-c43425dc3324,He made France shine and the French abroad.,
3017cfdc-f529-4c6c-a764-1868ff3d6c13,"JACQUES CHIRAC : UN AMI NOUS QUITTE
C’est avec beaucoup de tristesse que j’ai appris le décès de Jacques #CHIRAC. Nous venons de perdre un ami fidèle qui a toujours veillé, tant par ses paroles que par ses actes, à ce que l’outre-mer ait toute sa place au sein de la Nation. 
Un lien particulier et indéfectible unissait l’outre-mer, et notamment La Réunion, à ce grand serviteur de l’Etat. Le Président aimait profondément nos territoires, ses habitants et portait sur eux un reg… See more",images/post_56_0.jpg
a7b8ee46-2fdd-45de-96eb-24e32c82e85a,JACQUES CHIRAC : UN AMI NOUS QUITTE,
04c057bd-2fd6-4d69-b6d5-fe91de1c05fa,"C’est avec beaucoup de tristesse que j’ai appris le décès de Jacques #CHIRAC. Nous venons de perdre un ami fidèle qui a toujours veillé, tant par ses paroles que par ses actes, à ce que l’outre-mer ait toute sa place au sein de la Nation.",
1e6f23a4-80ec-4f8b-800b-c30eaa59bfb6,"Un lien particulier et indéfectible unissait l’outre-mer, et notamment La Réunion, à ce grand serviteur de l’Etat. Le Président aimait profondément nos territoires, ses habitants et portait sur eux un reg… See more",
14959e25-aaa8-4b08-964b-743443e097e0,NDJAMENA/TCHAD LE 1ER OCTOBRE 2019. SEM CISSE OUSMANE AMBASSADEUR DU NIGER AU TCHAD SIGNE A L'AMBASSADE DE FRANCE LE LIVRE DE CONDOLEANCES OUVERT SUITE AU DECES DE JACQUES CHIRAC ANCIEN PRESIDENT DE LA REPUBLIQUE FRANCAISE ET GRAND AMI DE L'AFRIQUE.,images/post_60_0.jpg;images/post_60_1.jpg;images/post_60_2.jpg;images/post_60_3.jpg;images/post_60_4.jpg
2a11ba1e-7f06-4401-9016-32597f9bd1be,L'émotion de Zinédine Zidane après le décès de Jacques Chirac.,images/post_61_0.jpg
58da1093-5be2-4de4-b19c-4a800c461d40,"[Décès de Jacques Chirac]
C’est avec émotion que j’ai appris le décès de l’ancien Président de la République, Jacques Chirac. 
Je retiendrai particulièrement son refus de la guerre, son engagement pour la promotion du dialogue des cultures et pour la paix au Moyen-Orient. Enfin, il a été un lanceur d’alerte contre le réchauffement climatique avec son discours de Johannesburg de 2002.… See more",images/post_62_0.jpg
fdb359a1-833f-47c7-b148-8b65e51b1fe8,"C’est avec émotion que j’ai appris le décès de l’ancien Président de la République, Jacques Chirac.",
c73db3da-caee-4ffa-b9ea-5d06896fdabc,"Je retiendrai particulièrement son refus de la guerre, son engagement pour la promotion du dialogue des cultures et pour la paix au Moyen-Orient. Enfin, il a été un lanceur d’alerte contre le réchauffement climatique avec son discours de Johannesburg de 2002.… See more",
64f0e37c-3f4d-413d-aead-ea544d621600,"Décès de l'Ancien Président de la République Française, S.E.M. Jacques Chirac
L'Hommage du Président Guillaume Kigbafori Soro
« C’est avec une forte émotion et non sans nostalgie que j’apprends ce jeudi 26 Septembre 2019, la nouvelle de la disparition de Son Excellence Monsieur Jacques Chirac, ancien Président de la République Française.… See more",images/post_65_0.jpg;images/post_65_1.jpg
5e5c8a74-c9aa-41ec-b0fd-a70cdcfabcfc,"Décès de l'Ancien Président de la République Française, S.E.M. Jacques Chirac",
16de032b-5bca-45fd-83a5-ebf4e2324dc1,L'Hommage du Président Guillaume Kigbafori Soro,
